Move,Score,Matrix,Previous_Move,Largest_Tile
1,0,"[0, 4, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,4
2,8,"[8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,8
3,8,"[8, 0, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",up,8
4,12,"[8, 2, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",left,8
5,12,"[0, 0, 8, 2, 0, 0, 0, 4, 0, 0, 0, 0, 2, 0, 0, 0]",right,8
6,12,"[8, 2, 2, 0, 4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]",left,8
7,16,"[8, 4, 0, 0, 4, 0, 0, 0, 0, 4, 0, 0, 2, 0, 0, 0]",left,8
8,24,"[8, 8, 0, 0, 4, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0]",up,8
9,48,"[16, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 0, 4, 0, 0]",left,16
10,48,"[16, 4, 0, 2, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",up,16
11,48,"[16, 4, 2, 4, 8, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0]",left,16
12,48,"[16, 4, 2, 4, 0, 0, 0, 8, 0, 0, 2, 2, 0, 0, 0, 0]",right,16
13,52,"[16, 4, 4, 4, 0, 0, 0, 8, 0, 0, 0, 2, 0, 0, 0, 2]",up,16
14,60,"[16, 8, 4, 0, 8, 0, 0, 0, 2, 0, 2, 0, 2, 0, 0, 0]",left,16
15,64,"[16, 8, 4, 0, 8, 0, 2, 0, 4, 0, 0, 0, 0, 0, 2, 0]",up,16
16,68,"[16, 8, 4, 0, 8, 0, 4, 0, 4, 0, 0, 0, 0, 0, 2, 0]",up,16
17,76,"[16, 8, 8, 0, 8, 0, 2, 0, 4, 0, 0, 0, 0, 0, 0, 2]",up,16
18,92,"[16, 16, 4, 0, 8, 2, 0, 0, 4, 0, 0, 0, 2, 0, 0, 0]",left,16
19,124,"[32, 4, 0, 0, 8, 2, 0, 0, 4, 0, 0, 0, 2, 0, 0, 4]",left,32
20,124,"[32, 4, 0, 4, 8, 2, 0, 0, 4, 0, 0, 0, 2, 2, 0, 0]",up,32
21,136,"[32, 8, 0, 0, 8, 2, 0, 0, 4, 0, 2, 0, 4, 0, 0, 0]",left,32
22,144,"[32, 8, 2, 0, 8, 2, 0, 2, 8, 0, 0, 0, 0, 0, 0, 0]",up,32
23,160,"[32, 8, 2, 2, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]",up,32
24,164,"[32, 8, 4, 2, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]",up,32
25,168,"[32, 8, 4, 4, 16, 2, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]",up,32
26,176,"[32, 8, 8, 0, 16, 2, 0, 0, 0, 0, 0, 0, 4, 0, 2, 0]",left,32
27,192,"[32, 16, 0, 0, 16, 2, 0, 2, 0, 0, 0, 0, 4, 2, 0, 0]",left,32
28,196,"[32, 16, 0, 0, 16, 4, 0, 0, 0, 0, 4, 0, 4, 2, 0, 0]",left,32
29,196,"[32, 16, 4, 2, 16, 4, 0, 0, 4, 2, 0, 0, 0, 0, 0, 0]",up,32
30,196,"[32, 16, 4, 2, 0, 0, 16, 4, 2, 0, 4, 2, 0, 0, 0, 0]",right,32
31,196,"[32, 16, 4, 2, 16, 4, 0, 0, 2, 4, 2, 0, 0, 2, 0, 0]",left,32
32,204,"[32, 16, 4, 2, 16, 8, 2, 0, 2, 2, 0, 0, 0, 0, 0, 2]",up,32
